"","age_group","date","J12_18","ach_noj"
"5617","08_2_22","2003-01-01",55,511
"5618","08_2_22","2003-02-01",42,543
"5619","08_2_22","2003-03-01",60,512
"5620","08_2_22","2003-04-01",101,439
"5621","08_2_22","2003-05-01",94,436
"5622","08_2_22","2003-06-01",67,462
"5623","08_2_22","2003-07-01",59,491
"5624","08_2_22","2003-08-01",53,554
"5625","08_2_22","2003-09-01",44,490
"5626","08_2_22","2003-10-01",71,492
"5627","08_2_22","2003-11-01",46,452
"5628","08_2_22","2003-12-01",58,492
"5629","08_2_22","2004-01-01",58,638
"5630","08_2_22","2004-02-01",112,657
"5631","08_2_22","2004-03-01",259,666
"5632","08_2_22","2004-04-01",128,512
"5633","08_2_22","2004-05-01",79,481
"5634","08_2_22","2004-06-01",92,524
"5635","08_2_22","2004-07-01",73,473
"5636","08_2_22","2004-08-01",63,494
"5637","08_2_22","2004-09-01",66,436
"5638","08_2_22","2004-10-01",63,464
"5639","08_2_22","2004-11-01",59,446
"5640","08_2_22","2004-12-01",40,443
"5641","08_2_22","2005-01-01",58,551
"5642","08_2_22","2005-02-01",62,561
"5643","08_2_22","2005-03-01",106,604
"5644","08_2_22","2005-04-01",156,502
"5645","08_2_22","2005-05-01",137,565
"5646","08_2_22","2005-06-01",84,511
"5647","08_2_22","2005-07-01",57,525
"5648","08_2_22","2005-08-01",75,551
"5649","08_2_22","2005-09-01",54,494
"5650","08_2_22","2005-10-01",53,483
"5651","08_2_22","2005-11-01",60,511
"5652","08_2_22","2005-12-01",45,533
"5653","08_2_22","2006-01-01",70,578
"5654","08_2_22","2006-02-01",50,529
"5655","08_2_22","2006-03-01",70,617
"5656","08_2_22","2006-04-01",91,550
"5657","08_2_22","2006-05-01",118,572
"5658","08_2_22","2006-06-01",90,515
"5659","08_2_22","2006-07-01",91,556
"5660","08_2_22","2006-08-01",62,546
"5661","08_2_22","2006-09-01",48,492
"5662","08_2_22","2006-10-01",59,537
"5663","08_2_22","2006-11-01",55,498
"5664","08_2_22","2006-12-01",59,511
"5665","08_2_22","2007-01-01",56,633
"5666","08_2_22","2007-02-01",53,542
"5667","08_2_22","2007-03-01",84,665
"5668","08_2_22","2007-04-01",66,552
"5669","08_2_22","2007-05-01",77,570
"5670","08_2_22","2007-06-01",68,537
"5671","08_2_22","2007-07-01",72,532
"5672","08_2_22","2007-08-01",67,568
"5673","08_2_22","2007-09-01",60,494
"5674","08_2_22","2007-10-01",54,584
"5675","08_2_22","2007-11-01",40,519
"5676","08_2_22","2007-12-01",56,521
"5677","08_2_22","2008-01-01",69,612
"5678","08_2_22","2008-02-01",64,638
"5679","08_2_22","2008-03-01",72,635
"5680","08_2_22","2008-04-01",117,604
"5681","08_2_22","2008-05-01",108,579
"5682","08_2_22","2008-06-01",99,563
"5683","08_2_22","2008-07-01",123,567
"5684","08_2_22","2008-08-01",67,590
"5685","08_2_22","2008-09-01",77,564
"5686","08_2_22","2008-10-01",88,561
"5687","08_2_22","2008-11-01",84,505
"5688","08_2_22","2008-12-01",68,550
"5689","08_2_22","2009-01-01",92,629
"5690","08_2_22","2009-02-01",81,608
"5691","08_2_22","2009-03-01",118,752
"5692","08_2_22","2009-04-01",179,642
"5693","08_2_22","2009-05-01",171,757
"5694","08_2_22","2009-06-01",120,674
"5695","08_2_22","2009-07-01",125,751
"5696","08_2_22","2009-08-01",98,686
"5697","08_2_22","2009-09-01",98,645
"5698","08_2_22","2009-10-01",88,655
"5699","08_2_22","2009-11-01",73,653
"5700","08_2_22","2009-12-01",66,593
"5701","08_2_22","2010-01-01",108,804
"5702","08_2_22","2010-02-01",70,706
"5703","08_2_22","2010-03-01",108,674
"5704","08_2_22","2010-04-01",106,643
"5705","08_2_22","2010-05-01",93,684
"5706","08_2_22","2010-06-01",84,669
"5707","08_2_22","2010-07-01",115,643
"5708","08_2_22","2010-08-01",105,714
"5709","08_2_22","2010-09-01",95,649
"5710","08_2_22","2010-10-01",88,686
"5711","08_2_22","2010-11-01",64,728
"5712","08_2_22","2010-12-01",88,700
"5713","08_2_22","2011-01-01",158,863
"5714","08_2_22","2011-02-01",211,832
"5715","08_2_22","2011-03-01",155,772
"5716","08_2_22","2011-04-01",119,655
"5717","08_2_22","2011-05-01",97,736
"5718","08_2_22","2011-06-01",92,625
"5719","08_2_22","2011-07-01",88,663
"5720","08_2_22","2011-08-01",79,722
"5721","08_2_22","2011-09-01",85,672
"5722","08_2_22","2011-10-01",95,738
"5723","08_2_22","2011-11-01",83,716
"5724","08_2_22","2011-12-01",86,631
"5725","08_2_22","2012-01-01",105,748
"5726","08_2_22","2012-02-01",62,710
"5727","08_2_22","2012-03-01",108,829
"5728","08_2_22","2012-04-01",95,744
"5729","08_2_22","2012-05-01",100,760
"5730","08_2_22","2012-06-01",87,669
"5731","08_2_22","2012-07-01",87,747
"5732","08_2_22","2012-08-01",92,770
"5733","08_2_22","2012-09-01",86,645
"5734","08_2_22","2012-10-01",126,740
"5735","08_2_22","2012-11-01",72,721
"5736","08_2_22","2012-12-01",76,706
"5737","08_2_22","2013-01-01",96,908
"5738","08_2_22","2013-02-01",119,825
"5739","08_2_22","2013-03-01",163,770
"5740","08_2_22","2013-04-01",218,831
"5741","08_2_22","2013-05-01",177,793
"5742","08_2_22","2013-06-01",119,774
"5743","08_2_22","2013-07-01",123,772
"5744","08_2_22","2013-08-01",123,745
"5745","08_2_22","2013-09-01",129,770
"5746","08_2_22","2013-10-01",110,737
"5747","08_2_22","2013-11-01",105,708
"5748","08_2_22","2013-12-01",102,660
"5749","08_2_22","2014-01-01",151,866
"5750","08_2_22","2014-02-01",124,761
"5751","08_2_22","2014-03-01",151,801
"5752","08_2_22","2014-04-01",158,755
"5753","08_2_22","2014-05-01",156,764
"5754","08_2_22","2014-06-01",144,721
"5755","08_2_22","2014-07-01",122,769
"5756","08_2_22","2014-08-01",91,719
"5757","08_2_22","2014-09-01",107,764
"5758","08_2_22","2014-10-01",117,826
"5759","08_2_22","2014-11-01",94,696
"5760","08_2_22","2014-12-01",92,640
