date,J12_18,ach_noj
1/1/2001,772,7808
2/1/2001,494,6924
3/1/2001,622,7186
4/1/2001,801,6825
5/1/2001,1386,7320
6/1/2001,3091,6877
7/1/2001,6466,6318
8/1/2001,5902,6724
9/1/2001,3292,6705
10/1/2001,1806,7161
11/1/2001,1392,7333
12/1/2001,1049,7465
1/1/2002,768,7759
2/1/2002,587,6793
3/1/2002,584,7412
4/1/2002,760,7344
5/1/2002,1091,7456
6/1/2002,1699,7186
7/1/2002,3953,7239
8/1/2002,4592,7113
9/1/2002,3779,6529
10/1/2002,2356,7566
11/1/2002,1475,7408
12/1/2002,959,7442
1/1/2003,684,7888
2/1/2003,482,6630
3/1/2003,532,7556
4/1/2003,783,7173
5/1/2003,1301,7078
6/1/2003,2112,6595
7/1/2003,4723,6711
8/1/2003,3983,6730
9/1/2003,2891,6788
10/1/2003,1925,7490
11/1/2003,1209,7374
12/1/2003,947,7267
1/1/2004,670,7878
2/1/2004,430,6555
3/1/2004,501,7387
4/1/2004,764,6868
5/1/2004,1810,6889
6/1/2004,3592,6420
7/1/2004,6199,6354
8/1/2004,3319,6590
9/1/2004,2243,6957
10/1/2004,1349,7265
11/1/2004,916,7317
12/1/2004,868,7475
1/1/2005,566,7508
2/1/2005,381,6802
3/1/2005,434,7291
4/1/2005,604,7408
5/1/2005,1031,7213
6/1/2005,2347,6832
7/1/2005,5144,6926
8/1/2005,4134,7070
9/1/2005,2394,7005
10/1/2005,1814,7343
11/1/2005,1655,7868
12/1/2005,1181,7756
1/1/2006,743,7860
2/1/2006,437,6442
3/1/2006,454,7868
4/1/2006,610,7479
5/1/2006,929,7558
6/1/2006,1703,6980
7/1/2006,4136,6789
8/1/2006,3382,7084
9/1/2006,2679,6808
10/1/2006,1658,7516
11/1/2006,1252,7879
12/1/2006,932,7768
1/1/2007,661,7979
2/1/2007,407,6731
3/1/2007,507,7755
4/1/2007,778,7114
5/1/2007,1740,7531
6/1/2007,3941,7001
7/1/2007,5395,6831
8/1/2007,2392,7523
9/1/2007,1592,7205
10/1/2007,1454,7813
11/1/2007,1168,7873
12/1/2007,901,8859
1/1/2008,305,6634
2/1/2008,197,6484
3/1/2008,264,6650
4/1/2008,495,6834
5/1/2008,1004,6773
6/1/2008,1669,6663
7/1/2008,3234,7079
8/1/2008,2694,7086
9/1/2008,1872,7281
10/1/2008,1210,7747
11/1/2008,892,7575
12/1/2008,825,7955
1/1/2009,601,8389
2/1/2009,367,7023
3/1/2009,471,8242
4/1/2009,717,8274
5/1/2009,1525,7758
6/1/2009,3580,6682
7/1/2009,4117,6930
8/1/2009,3256,7572
9/1/2009,2482,7663
10/1/2009,1921,8197
11/1/2009,1702,7865
12/1/2009,1309,8239
1/1/2010,704,8224
2/1/2010,400,6677
3/1/2010,428,7355
4/1/2010,628,7587
5/1/2010,1020,7775
6/1/2010,2691,7422
7/1/2010,4444,7326
8/1/2010,2955,7342
9/1/2010,2314,7386
10/1/2010,1829,7948
11/1/2010,1451,7699
12/1/2010,1151,7972
1/1/2011,696,7501
2/1/2011,451,6503
3/1/2011,533,7364
4/1/2011,852,7143
5/1/2011,2480,7150
6/1/2011,4423,6721
7/1/2011,2588,6680
8/1/2011,1382,6839
9/1/2011,1397,6838
10/1/2011,1354,6997
11/1/2011,1020,7448
12/1/2011,844,7628
1/1/2012,436,7242
2/1/2012,249,6484
3/1/2012,343,7289
4/1/2012,493,6937
5/1/2012,1189,6953
6/1/2012,3877,6324
7/1/2012,4254,6162
8/1/2012,2096,6909
9/1/2012,1640,6410
10/1/2012,1002,7166
11/1/2012,670,6806
12/1/2012,449,6078
